"# base_pid=not flashed (controllers hold whatever was there), scale=1.068",sample_hz=50.0
t,motors_enabled,v_target_0,v_target_1,v_target_2,v_prof_0,v_prof_1,v_prof_2,steer_cmd_FL,steer_cmd_FR,steer_cmd_RR,steer_cmd_RL,steer_meas_FL,steer_meas_FR,steer_meas_RR,steer_meas_RL,drive_cmd_FL,drive_cmd_FR,drive_cmd_RR,drive_cmd_RL,drive_meas_FL,drive_meas_FR,drive_meas_RR,drive_meas_RL,drive_pos_FL,drive_pos_FR,drive_pos_RR,drive_pos_RL
0.0003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.028795,3.107724,0.028797,-3.104890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.052456,-11.018275,-165.574356,158.536270
0.0203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.028795,3.107724,0.028946,-3.104890,-0.028795,3.107724,0.028946,-3.104890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.052456,-11.018275,-165.574356,158.536270
0.0405,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.028795,3.107724,0.028797,-3.105007,-0.029361,3.107724,0.028797,-3.105007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.052456,-11.018275,-165.574356,158.536270
0.0603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029361,3.107724,0.028304,-3.105007,-0.029361,3.107724,0.028304,-3.105007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.052456,-11.018275,-165.574356,158.536270
0.0803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029285,3.107738,0.028797,-3.104890,-0.029361,3.107738,0.028797,-3.104890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.052456,-11.018275,-165.574356,158.536270
0.1003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029361,3.107738,0.028946,-3.104890,-0.029437,3.107738,0.028304,-3.104890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.052456,-11.018275,-165.574356,158.536270
0.1203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.028795,3.107729,0.028304,-3.104890,-0.029437,3.107729,0.028304,-3.104890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.052456,-11.018275,-165.574356,158.536270
0.1403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029361,3.107729,0.028797,-3.105007,-0.029361,3.107729,0.028797,-3.105007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.052456,-11.018275,-165.574356,158.536270
0.1603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029361,3.107729,0.028797,-3.104354,-0.029361,3.107729,0.028797,-3.104354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.052456,-11.018275,-165.574356,158.536270
0.1803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029437,3.107724,0.028797,-3.104890,-0.029437,3.107729,0.028797,-3.104890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.052456,-11.018275,-165.574356,158.536270
