"# base_pid=base_pid_hybrid.json [drive p=0.35 ff=0.23, steer p=2 out=+/-1, scale=1.068]",sample_hz=50.0
t,motors_enabled,v_target_0,v_target_1,v_target_2,v_prof_0,v_prof_1,v_prof_2,steer_cmd_FL,steer_cmd_FR,steer_cmd_RR,steer_cmd_RL,steer_meas_FL,steer_meas_FR,steer_meas_RR,steer_meas_RL,drive_cmd_FL,drive_cmd_FR,drive_cmd_RR,drive_cmd_RL,drive_meas_FL,drive_meas_FR,drive_meas_RR,drive_meas_RL,drive_pos_FL,drive_pos_FR,drive_pos_RR,drive_pos_RL
0.0004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108911,-0.116277,-0.087842,3.074288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.0204,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116277,-0.087842,3.073741,-0.108827,-0.116277,-0.087842,3.073741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.0406,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108911,-0.116277,-0.087842,3.074288,-0.108911,-0.116614,-0.087842,3.074288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.0604,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108995,-0.116285,-0.087980,3.074288,-0.108995,-0.116285,-0.087980,3.074288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.0803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116285,-0.087842,3.073741,-0.108827,-0.116285,-0.087842,3.073741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.1003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116285,-0.087337,3.074181,-0.108827,-0.116285,-0.087337,3.074181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.1203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116285,-0.087337,3.074394,-0.108827,-0.116285,-0.087337,3.074394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.1405,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116606,-0.087842,3.074288,-0.108827,-0.116606,-0.087842,3.074288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.1604,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116285,-0.087842,3.074394,-0.108827,-0.116285,-0.087842,3.074394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.1804,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116285,-0.087842,3.073635,-0.108827,-0.116285,-0.087842,3.073635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.2004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116277,-0.087842,3.074288,-0.108827,-0.116277,-0.087842,3.074288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.2204,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116285,-0.087337,3.073741,-0.108827,-0.116285,-0.087337,3.073741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.2404,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.115957,-0.087980,3.074181,-0.108827,-0.115957,-0.087980,3.074181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.2604,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116606,-0.087842,3.073741,-0.108827,-0.116606,-0.087842,3.073741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.2804,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108911,-0.116606,-0.087842,3.073741,-0.108911,-0.116606,-0.087842,3.073741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
0.3004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.108827,-0.116606,-0.087842,3.073741,-0.108827,-0.116606,-0.087842,3.073741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-332.513824,648.546570,3292.538574,-1245.578979
