# refresh_posture_target=True,arm_posture_cost=0.001,"arm_posture_cost_overrides={'left_arm_joint7': 0.003, 'right_arm_joint7': 0.003}",ee_position_cost=1.0,ee_orientation_cost=0.5,redundancy_resolution=dls_projector,dls_damping=0.05,nullspace_swivel_weight=1.0,elbow_swivel_gain=1.0,elbow_swivel_targets={},nullspace_continuity_weight=0.0,nullspace_posture_weight=1.0,enable_manipulability=False,manipulability_weight=0.5,base_motion_weight=100.0,base_motion_weight_min=10.0,base_motion_weight_yaw=1.0,base_weight_gate_on=0.065,base_weight_gate_full=0.05,base_recenter_gain=0.5,base_recenter_max_vel=0.15
# control_hz=30.0,enable_base_motion=True,base_max_lin_vel=0.25,base_max_ang_vel=0.6,base_vel_deadband=0.0,base_vel_deadband_exit=0.0,base_vel_filter_tau=0.15,base_feedback_alpha=0.0,enable_lift_motion=True,lift_kp=2.0,lift_kd=0.05,lift_derivative_tau=0.1,lift_velocity_deadband_m=0.005,lift_max_velocity_m_s=0.05,lift_feedback_max_age_s=0.5,use_measured_lift=True,use_measured_arm_state=False,"base_pid=base_pid_hybrid.json [drive p=0.35 ff=0.23, steer p=2 out=+/-1, scale=1.068]",base_heading_rate_limit=3.49,base_max_accel=1.5,base_yaw_deadband=0.0,base_yaw_deadband_exit=0.0,base_yaw_filter_tau=0.15
t,left_q0,left_q1,left_q2,left_q3,left_q4,left_q5,left_q6,right_q0,right_q1,right_q2,right_q3,right_q4,right_q5,right_q6,left_target_ee_0,left_target_ee_1,left_target_ee_2,left_target_ee_3,left_target_ee_4,left_target_ee_5,left_target_ee_6,right_target_ee_0,right_target_ee_1,right_target_ee_2,right_target_ee_3,right_target_ee_4,right_target_ee_5,right_target_ee_6,left_actual_ee_0,left_actual_ee_1,left_actual_ee_2,left_actual_ee_3,left_actual_ee_4,left_actual_ee_5,left_actual_ee_6,right_actual_ee_0,right_actual_ee_1,right_actual_ee_2,right_actual_ee_3,right_actual_ee_4,right_actual_ee_5,right_actual_ee_6,lift_q,base_x,base_y,base_yaw,iters,solved,base_active,base_req_vx,base_req_vy,base_req_wz,base_body_fwd,base_body_lat,base_body_yaw,base_sent_0,base_sent_1,base_sent_2,swerve_enabled,swerve_target_0,swerve_target_1,swerve_target_2,swerve_prof_0,swerve_prof_1,swerve_prof_2,steer_cmd_FL,steer_cmd_FR,steer_cmd_RR,steer_cmd_RL,steer_meas_FL,steer_meas_FR,steer_meas_RR,steer_meas_RL,drive_cmd_FL,drive_cmd_FR,drive_cmd_RR,drive_cmd_RL,drive_meas_FL,drive_meas_FR,drive_meas_RR,drive_meas_RL,drive_pos_FL,drive_pos_FR,drive_pos_RR,drive_pos_RL,lift_active,lift_mode,lift_goal,lift_meas,lift_cmd_vel,lift_vel_est,lift_age,lift_blocked
0.012041273002978414,-0.108221,1.485740,-2.731349,0.664367,1.577435,-0.668630,1.157045,0.007021,1.317258,1.707406,1.301234,0.007386,-0.008771,0.005522,-0.246202,0.746905,-0.020094,-0.617344,0.423238,-0.112599,0.463930,0.145601,-0.615148,-0.020460,0.774580,-0.374766,-0.255369,0.606894,-0.246202,0.746906,-0.020094,-0.617343,0.423239,-0.112599,0.463931,0.145601,-0.615149,-0.020460,0.774580,-0.374765,-0.255369,0.606895,0.450853,0.000285,0.000889,0.000817,1,True,True,0.008535,0.026677,0.024514,-0.004850,0.001552,0.004457,-0.004850,0.001552,0.004457,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.576170,2.354434,-0.504931,-0.266624,2.576170,2.354434,-0.504931,-0.266624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1275.944702,-1818.164795,352.139496,413.481995,True,velocity,0.450853,0.451050,0.000000,0.000000,3.917098,False
0.038565697002923116,-0.110391,1.486461,-2.730651,0.664716,1.577782,-0.669246,1.155088,0.009017,1.316510,1.707780,1.299490,0.007782,-0.008560,0.005051,-0.246202,0.746905,-0.020094,-0.617344,0.423238,-0.112599,0.463930,0.145601,-0.615148,-0.020460,0.774580,-0.374766,-0.255369,0.606894,-0.246202,0.746906,-0.020094,-0.617343,0.423238,-0.112599,0.463932,0.145601,-0.615149,-0.020460,0.774580,-0.374765,-0.255368,0.606895,0.450656,0.000564,0.001766,0.001618,1,True,True,0.008385,0.026305,0.024040,-0.008751,0.002795,0.008018,-0.008751,0.002795,0.008018,True,-0.004850,0.001552,0.004457,-0.004850,0.001552,0.004457,2.783636,2.667932,-0.240992,-0.177470,2.575719,2.354361,-0.504931,-0.266865,0.005859,0.004375,-0.004069,-0.005675,0.000000,0.000000,0.000000,0.000000,1275.944702,-1818.164795,352.139496,413.481995,True,velocity,0.450656,0.451050,0.000000,0.000000,3.943758,False
0.0718792909901822,-0.112518,1.487162,-2.729922,0.665049,1.578065,-0.669848,1.153138,0.010987,1.315763,1.708130,1.297767,0.008184,-0.008364,0.004586,-0.246202,0.746905,-0.020094,-0.617344,0.423238,-0.112599,0.463930,0.145601,-0.615148,-0.020460,0.774580,-0.374766,-0.255369,0.606894,-0.246202,0.746906,-0.020094,-0.617343,0.423238,-0.112599,0.463932,0.145601,-0.615149,-0.020460,0.774580,-0.374765,-0.255368,0.606895,0.450460,0.000839,0.002631,0.002405,1,True,True,0.008236,0.025942,0.023604,-0.011876,0.003786,0.010852,-0.011876,0.003786,0.010852,True,-0.008751,0.002795,0.008018,-0.008751,0.002795,0.008018,2.784172,2.668978,-0.240624,-0.177359,2.606703,2.372673,-0.486300,-0.260752,0.010577,0.007936,-0.007379,-0.010234,-0.000594,-0.001047,-0.000082,0.000000,1275.941772,-1818.170776,352.138824,413.481995,True,velocity,0.450460,0.451050,0.000000,0.000000,3.977102,False
0.10537871699489187,-0.114606,1.487846,-2.729175,0.665363,1.578300,-0.670435,1.151200,0.012932,1.315018,1.708459,1.296066,0.008588,-0.008178,0.004127,-0.246202,0.746905,-0.020094,-0.617344,0.423238,-0.112599,0.463930,0.145601,-0.615148,-0.020460,0.774580,-0.374766,-0.255369,0.606894,-0.246202,0.746906,-0.020094,-0.617343,0.423238,-0.112599,0.463932,0.145601,-0.615149,-0.020460,0.774580,-0.374765,-0.255368,0.606895,0.450266,0.001108,0.003484,0.003179,1,True,True,0.008087,0.025588,0.023201,-0.014368,0.004572,0.013097,-0.014368,0.004572,0.013097,True,-0.011876,0.003786,0.010852,-0.011876,0.003786,0.010852,2.784725,2.670010,-0.240196,-0.177186,2.624666,2.409584,-0.424625,-0.254467,0.014456,0.010881,-0.010153,-0.013897,-0.002177,-0.006326,-0.001067,-0.000191,1275.939575,-1818.180420,352.135590,413.480194,True,velocity,0.450266,0.451050,0.000000,0.000000,4.010496,False
0.13880958799563814,-0.116659,1.488512,-2.728418,0.665659,1.578501,-0.671009,1.149278,0.014852,1.314278,1.708772,1.294386,0.008992,-0.008001,0.003675,-0.246202,0.746905,-0.020094,-0.617344,0.423238,-0.112599,0.463930,0.145601,-0.615148,-0.020460,0.774580,-0.374766,-0.255369,0.606894,-0.246202,0.746906,-0.020094,-0.617343,0.423238,-0.112599,0.463933,0.145601,-0.615149,-0.020460,0.774580,-0.374765,-0.255368,0.606895,0.450073,0.001373,0.004325,0.003939,1,True,True,0.007939,0.025242,0.022822,-0.016343,0.005190,0.014865,-0.016343,0.005190,0.014865,True,-0.014368,0.004572,0.013097,-0.014368,0.004572,0.013097,2.785296,2.671027,-0.239703,-0.176950,2.667648,2.354434,-0.381581,-0.247942,0.017584,0.012945,-0.012373,-0.016815,-0.003030,-0.009033,-0.003249,-0.002370,1275.939209,-1818.184326,352.130310,413.474182,True,velocity,0.450073,0.451050,0.000000,0.000000,4.043863,False
0.1721002190024592,-0.118680,1.489162,-2.727657,0.665937,1.578675,-0.671570,1.147374,0.016747,1.313544,1.709070,1.292727,0.009393,-0.007832,0.003229,-0.246202,0.746905,-0.020094,-0.617344,0.423238,-0.112599,0.463930,0.145601,-0.615148,-0.020460,0.774580,-0.374766,-0.255369,0.606894,-0.246202,0.746906,-0.020094,-0.617343,0.423238,-0.112599,0.463933,0.145601,-0.615149,-0.020460,0.774580,-0.374765,-0.255368,0.606895,0.449881,0.001633,0.005155,0.004688,1,True,True,0.007794,0.024901,0.022462,-0.017897,0.005671,0.016246,-0.017897,0.005671,0.016246,True,-0.016343,0.005190,0.014865,-0.016343,0.005190,0.014865,2.785881,2.672028,-0.239154,-0.176656,2.686693,2.427751,-0.357388,-0.242069,0.020032,0.015033,-0.014122,-0.019128,-0.001537,-0.009191,-0.005705,-0.004958,1275.942139,-1818.185181,352.125427,413.470001,True,velocity,0.449881,0.451050,0.000000,0.000000,4.077256,False
0.2077524310006993,-0.120672,1.489796,-2.726896,0.666197,1.578830,-0.672116,1.145490,0.018617,1.312816,1.709356,1.291089,0.009791,-0.007670,0.002790,-0.246202,0.746905,-0.020094,-0.617344,0.423238,-0.112599,0.463930,0.145601,-0.615148,-0.020460,0.774580,-0.374766,-0.255369,0.606894,-0.246202,0.746906,-0.020094,-0.617343,0.423238,-0.112599,0.463933,0.145601,-0.615149,-0.020460,0.774580,-0.374765,-0.255368,0.606895,0.449691,0.001888,0.005974,0.005425,1,True,True,0.007650,0.024566,0.022118,-0.019106,0.006041,0.017314,-0.019106,0.006041,0.017314,True,-0.017897,0.005671,0.016246,-0.017897,0.005671,0.016246,2.786478,2.673014,-0.238557,-0.176314,2.704858,2.519884,-0.504289,-0.242069,0.021960,0.016732,-0.015029,-0.020939,0.001524,-0.003866,-0.008792,-0.007018,1275.944946,-1818.184570,352.116760,413.465271,True,velocity,0.449691,0.451050,0.000000,0.000000,4.112860,False
0.23899725699448027,-0.122636,1.490416,-2.726138,0.666438,1.578970,-0.672649,1.143628,0.020463,1.312096,1.709631,1.289472,0.010186,-0.007514,0.002357,-0.246202,0.746905,-0.020094,-0.617344,0.423238,-0.112599,0.463930,0.145601,-0.615148,-0.020460,0.774580,-0.374766,-0.255369,0.606894,-0.246202,0.746906,-0.020094,-0.617343,0.423237,-0.112599,0.463933,0.145601,-0.615149,-0.020460,0.774580,-0.374765,-0.255368,0.606896,0.449502,0.002138,0.006782,0.006152,1,True,True,0.007508,0.024236,0.021787,-0.020035,0.006320,0.018127,-0.020035,0.006320,0.018127,True,-0.019106,0.006041,0.017314,-0.019106,0.006041,0.017314,2.787083,2.673985,-0.237919,-0.175929,2.717047,2.519884,-0.326443,-0.242069,0.023454,0.017892,-0.016566,-0.022346,0.004018,-0.000867,-0.009090,-0.007899,1275.947876,-1818.184326,352.113281,413.459686,True,velocity,0.449502,0.451050,0.000000,0.000000,4.144074,False
0.2721197770006256,-0.124573,1.491021,-2.725385,0.666661,1.579099,-0.673168,1.141788,0.022284,1.311384,1.709895,1.287876,0.010576,-0.007363,0.001930,-0.246202,0.746905,-0.020094,-0.617344,0.423238,-0.112599,0.463930,0.145601,-0.615148,-0.020460,0.774580,-0.374766,-0.255369,0.606894,-0.246202,0.746906,-0.020094,-0.617343,0.423237,-0.112599,0.464002,0.145601,-0.615149,-0.020460,0.774580,-0.374765,-0.255368,0.606964,0.449383,0.002383,0.007579,0.006867,1,True,True,0.007369,0.023911,0.021464,-0.020735,0.006525,0.018734,-0.020735,0.006525,0.018734,True,-0.020035,0.006320,0.018127,-0.020035,0.006320,0.018127,2.787696,2.674942,-0.237245,-0.175507,2.729030,2.525723,-0.314880,-0.235781,0.024592,0.018772,-0.017390,-0.023435,0.004332,0.000350,-0.007757,-0.007405,1275.950439,-1818.183960,352.109650,413.455353,True,velocity,0.449383,0.451050,0.000000,0.000000,4.177341,False
0.3058454059937503,-0.126484,1.491612,-2.724640,0.666866,1.579218,-0.673674,1.139970,0.024082,1.310679,1.710150,1.286299,0.010962,-0.007218,0.001509,-0.246202,0.746905,-0.020094,-0.617344,0.423238,-0.112599,0.463930,0.145601,-0.615148,-0.020460,0.774580,-0.374766,-0.255369,0.606894,-0.246202,0.746906,-0.020094,-0.617343,0.423237,-0.112599,0.464188,0.145601,-0.615149,-0.020460,0.774580,-0.374765,-0.255368,0.607149,0.449383,0.002624,0.008365,0.007572,1,True,True,0.007231,0.023591,0.021150,-0.021249,0.006671,0.019173,-0.021249,0.006671,0.019173,True,-0.020735,0.006525,0.018734,-0.020735,0.006525,0.018734,2.788317,2.675889,-0.236540,-0.175053,2.735009,2.550378,-0.302032,-0.235781,0.025458,0.019472,-0.018014,-0.024246,0.004320,0.000744,-0.006398,-0.007492,1275.953491,-1818.182739,352.104919,413.450623,True,velocity,0.449383,0.451050,0.000000,0.000000,4.210781,False
