# refresh_posture_target=True,arm_posture_cost=0.001,"arm_posture_cost_overrides={'left_arm_joint7': 0.003, 'right_arm_joint7': 0.003}",ee_position_cost=1.0,ee_orientation_cost=0.5,redundancy_resolution=dls_projector,dls_damping=0.05,nullspace_swivel_weight=1.0,elbow_swivel_gain=1.0,elbow_swivel_targets={},nullspace_continuity_weight=0.0,nullspace_posture_weight=1.0,enable_manipulability=False,manipulability_weight=0.5,base_motion_weight=100.0,base_motion_weight_min=10.0,base_motion_weight_yaw=1.0,base_weight_gate_on=0.065,base_weight_gate_full=0.05,base_recenter_gain=0.5,base_recenter_max_vel=0.15,nullspace_home_gain=0.3,nullspace_home_weight=1.0,constrained_primary=True,dls_task_weighting=True,dls_adaptive_damping_sigma=0.05,dls_damping_max=0.2,swivel_parallel_ref=True,swivel_relatch_err_rad=1.57
# control_hz=30.0,enable_base_motion=True,base_max_lin_vel=0.25,base_max_ang_vel=0.6,base_vel_deadband=0.0,base_vel_deadband_exit=0.0,base_vel_filter_tau=0.15,base_feedback_alpha=0.0,base_leash_m=0.2,base_leash_rad=0.0,enable_lift_motion=True,lift_kp=2.0,lift_kd=0.05,lift_derivative_tau=0.1,lift_velocity_deadband_m=0.005,lift_max_velocity_m_s=0.05,lift_feedback_max_age_s=0.5,use_measured_lift=True,use_measured_arm_state=False,"base_pid=base_pid_hybrid.json [drive p=0.35 ff=0.23, steer p=2 out=+/-1, scale=1.068]",base_heading_rate_limit=3.49,base_max_accel=1.5,base_yaw_deadband=0.0,base_yaw_deadband_exit=0.0,base_yaw_filter_tau=0.15,base_pose_kp_xy=1.5,base_pose_kd_xy=0.15,base_pose_kp_yaw=2.0,base_pose_kd_yaw=0.2,base_pose_deadband_m=0.01,base_pose_yaw_deadband_rad=0.02,base_pose_derivative_tau=0.1,base_pose_ff_gain=1.0,base_pose_ff_max_frac=0.8,arm_joint_deadband_rad=0.005,target_leash_m=0.15,target_leash_rad=0.8
t,left_q0,left_q1,left_q2,left_q3,left_q4,left_q5,left_q6,right_q0,right_q1,right_q2,right_q3,right_q4,right_q5,right_q6,left_target_ee_0,left_target_ee_1,left_target_ee_2,left_target_ee_3,left_target_ee_4,left_target_ee_5,left_target_ee_6,right_target_ee_0,right_target_ee_1,right_target_ee_2,right_target_ee_3,right_target_ee_4,right_target_ee_5,right_target_ee_6,left_actual_ee_0,left_actual_ee_1,left_actual_ee_2,left_actual_ee_3,left_actual_ee_4,left_actual_ee_5,left_actual_ee_6,right_actual_ee_0,right_actual_ee_1,right_actual_ee_2,right_actual_ee_3,right_actual_ee_4,right_actual_ee_5,right_actual_ee_6,lift_q,base_x,base_y,base_yaw,iters,solved,base_active,base_err_fwd,base_err_lat,base_err_yaw,base_req_fwd,base_req_lat,base_req_yaw,base_body_fwd,base_body_lat,base_body_yaw,base_sent_0,base_sent_1,base_sent_2,base_leash,base_ff_fwd,base_ff_lat,base_ff_yaw,swerve_enabled,swerve_target_0,swerve_target_1,swerve_target_2,swerve_prof_0,swerve_prof_1,swerve_prof_2,steer_cmd_FL,steer_cmd_FR,steer_cmd_RR,steer_cmd_RL,steer_meas_FL,steer_meas_FR,steer_meas_RR,steer_meas_RL,drive_cmd_FL,drive_cmd_FR,drive_cmd_RR,drive_cmd_RL,drive_meas_FL,drive_meas_FR,drive_meas_RR,drive_meas_RL,drive_pos_FL,drive_pos_FR,drive_pos_RR,drive_pos_RL,lift_active,lift_mode,lift_goal,lift_meas,lift_cmd_vel,lift_vel_est,lift_age,lift_blocked,l_sigma_min,r_sigma_min,l_manip,r_manip,l_swivel,l_swivel_tgt,l_swivel_err,r_swivel,r_swivel_tgt,r_swivel_err,collision_rows
0.012906571995699778,0.128033,1.466981,-1.749484,1.537675,-0.532622,-0.613008,-0.089679,-0.000602,1.318474,1.706764,1.316616,0.006585,-0.009517,0.006004,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.163964,-0.532794,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.451899,-0.000267,0.000223,0.000269,1,True,True,-0.000223,-0.000267,0.000269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.271473,0.349753,0.488694,0.395587,0.271473,0.349753,0.488694,0.395587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-766.408203,1070.104126,528.402039,1846.795044,True,velocity,0.451899,0.451828,0.000000,0.000000,3.803948,False,0.145134,0.142071,0.037796,0.050565,-2.923496,-2.923496,0.000000,2.736506,2.736506,0.000000,167.000000
0.041351348016178235,0.127036,1.466062,-1.749056,1.536346,-0.533178,-0.613108,-0.089431,-0.000229,1.318943,1.706555,1.316252,0.006179,-0.010030,0.006005,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.451969,-0.000530,0.000445,0.000557,1,True,True,-0.000445,-0.000530,0.000557,-0.006653,-0.007903,0.008638,-0.001210,-0.001437,0.001570,-0.001210,-0.001437,0.001570,0.000000,-0.006653,-0.007903,0.008638,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.271473,0.349753,0.488248,0.395416,0.271473,0.349753,0.488248,0.395416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-766.408203,1070.104126,528.402039,1846.795044,True,velocity,0.451969,0.451828,0.000000,0.000000,3.832441,False,0.145061,0.142042,0.037808,0.050575,-2.922862,-2.923496,0.000634,2.736482,2.736506,-0.000024,167.000000
0.07413372801966034,0.126020,1.465219,-1.748695,1.535018,-0.533684,-0.613278,-0.089238,0.000125,1.319407,1.706369,1.315903,0.005777,-0.010539,0.006006,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.452038,-0.000791,0.000665,0.000859,1,True,True,-0.000625,-0.000743,0.000806,-0.006604,-0.007814,0.009059,-0.002190,-0.002596,0.002932,-0.002190,-0.002596,0.002932,0.000000,-0.006604,-0.007814,0.009059,True,-0.001210,-0.001437,0.001570,-0.001210,-0.001437,0.001570,0.700297,0.922533,1.046272,0.834502,0.277203,0.349753,0.488248,0.407648,-0.001761,-0.001312,-0.001597,-0.002002,-0.000025,0.000000,-0.000020,-0.000063,-766.408325,1070.104126,528.401672,1846.794067,True,velocity,0.452038,0.451828,0.000000,0.000000,3.865229,False,0.144982,0.142016,0.037817,0.050584,-2.922380,-2.923496,0.001115,2.736455,2.736506,-0.000051,167.000000
0.10777684400090948,0.124991,1.464436,-1.748386,1.533692,-0.534149,-0.613499,-0.089086,0.000464,1.319868,1.706202,1.315567,0.005380,-0.011041,0.006006,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.452106,-0.001048,0.000883,0.001170,1,True,True,-0.000770,-0.000914,0.001020,-0.006551,-0.007731,0.009356,-0.002983,-0.003530,0.004100,-0.002983,-0.003530,0.004100,0.000000,-0.006551,-0.007731,0.009356,True,-0.002190,-0.002596,0.002932,-0.002190,-0.002596,0.002932,0.693953,0.923272,1.050858,0.832602,0.277203,0.349841,0.555930,0.475383,-0.003199,-0.002356,-0.002997,-0.003743,-0.000086,-0.000034,-0.001173,-0.001841,-766.408508,1070.103882,528.398132,1846.788940,True,velocity,0.452106,0.451828,0.000000,0.000000,3.898854,False,0.144900,0.141990,0.037826,0.050593,-2.922015,-2.923496,0.001481,2.736427,2.736506,-0.000079,167.000000
0.1408274999994319,0.123955,1.463700,-1.748116,1.532371,-0.534583,-0.613759,-0.088966,0.000790,1.320326,1.706049,1.315241,0.004985,-0.011537,0.006005,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609935,0.452174,-0.001303,0.001100,0.001489,1,True,True,-0.000887,-0.001051,0.001202,-0.006494,-0.007654,0.009560,-0.003621,-0.004280,0.005093,-0.003621,-0.004280,0.005093,0.000000,-0.006494,-0.007654,0.009560,True,-0.002983,-0.003530,0.004100,-0.002983,-0.003530,0.004100,0.688436,0.924057,1.055021,0.831015,0.436978,0.361806,0.623847,0.475383,-0.004357,-0.003210,-0.004148,-0.005118,-0.000112,-0.002429,-0.002210,-0.003812,-766.408508,1070.094482,528.397034,1846.787231,True,velocity,0.452174,0.451828,0.000000,0.000000,3.931731,False,0.144814,0.141965,0.037833,0.050602,-2.921737,-2.923496,0.001759,2.736401,2.736506,-0.000105,167.000000
0.1738964710093569,0.122916,1.463002,-1.747875,1.531057,-0.534992,-0.614048,-0.088869,0.001105,1.320781,1.705910,1.314924,0.004593,-0.012027,0.006003,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254252,0.609935,0.452240,-0.001556,0.001314,0.001812,1,True,True,-0.000981,-0.001161,0.001356,-0.006435,-0.007580,0.009694,-0.004133,-0.004880,0.005929,-0.004133,-0.004880,0.005929,0.000000,-0.006435,-0.007580,0.009694,True,-0.003621,-0.004280,0.005093,-0.003621,-0.004280,0.005093,0.683660,0.924890,1.058810,0.829710,0.485745,0.637698,0.488890,0.499702,-0.005653,-0.004391,-0.004736,-0.006234,-0.000154,-0.006602,-0.003520,-0.003904,-766.408630,1070.088257,528.393250,1846.787231,True,velocity,0.452240,0.451828,0.000000,0.000000,3.964985,False,0.144727,0.141941,0.037840,0.050610,-2.921527,-2.923496,0.001969,2.736376,2.736506,-0.000130,167.000000
0.20735945799970068,0.121877,1.462332,-1.747658,1.529750,-0.535382,-0.614358,-0.088791,0.001412,1.321234,1.705781,1.314614,0.004202,-0.012510,0.006001,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631248,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254252,0.609935,0.452305,-0.001807,0.001526,0.002138,1,True,True,-0.001056,-0.001248,0.001484,-0.006374,-0.007509,0.009776,-0.004540,-0.005358,0.006629,-0.004540,-0.005358,0.006629,0.000000,-0.006374,-0.007509,0.009776,True,-0.004133,-0.004880,0.005929,-0.004133,-0.004880,0.005929,0.679548,0.925772,1.062273,0.828656,0.522300,0.680542,0.488890,0.653126,-0.006528,-0.005018,-0.005392,-0.007490,-0.000055,-0.008677,-0.003185,-0.002170,-766.408508,1070.085571,528.392456,1846.787231,True,velocity,0.452305,0.451828,0.000000,0.000000,3.998397,False,0.144638,0.141917,0.037846,0.050619,-2.921368,-2.923496,0.002128,2.736354,2.736506,-0.000152,167.000000
0.24113722200854681,0.120840,1.461686,-1.747459,1.528451,-0.535756,-0.614684,-0.088725,0.001712,1.321685,1.705661,1.314312,0.003814,-0.012988,0.005999,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.163964,-0.532793,0.124264,0.820856,0.304707,-0.217437,0.631248,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254252,0.609935,0.452370,-0.002055,0.001737,0.002465,1,True,True,-0.001115,-0.001318,0.001590,-0.006312,-0.007440,0.009819,-0.004863,-0.005736,0.007209,-0.004863,-0.005736,0.007209,0.000000,-0.006312,-0.007440,0.009819,True,-0.004540,-0.005358,0.006629,-0.004540,-0.005358,0.006629,0.676027,0.926705,1.065451,0.827827,0.547328,0.613283,0.795020,0.683811,-0.007205,-0.005408,-0.006795,-0.008291,-0.000030,-0.007634,-0.002474,-0.000108,-766.408508,1070.083740,528.393555,1846.787354,True,velocity,0.452370,0.451828,0.000000,0.000000,4.031944,False,0.144548,0.141894,0.037851,0.050627,-2.921248,-2.923496,0.002248,2.736335,2.736506,-0.000171,167.000000
0.27396189799765125,0.119807,1.461060,-1.747273,1.527161,-0.536116,-0.615022,-0.088670,0.002004,1.322132,1.705548,1.314015,0.003427,-0.013459,0.005996,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.163964,-0.532793,0.124264,0.820856,0.304707,-0.217437,0.631248,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254252,0.609935,0.452434,-0.002301,0.001945,0.002793,1,True,True,-0.001162,-0.001372,0.001678,-0.006250,-0.007374,0.009835,-0.005115,-0.006034,0.007686,-0.005115,-0.006034,0.007686,0.000000,-0.006250,-0.007374,0.009835,True,-0.004863,-0.005736,0.007209,-0.004863,-0.005736,0.007209,0.673030,0.927688,1.068381,0.827198,0.565326,0.613283,0.905567,0.707967,-0.007741,-0.005768,-0.007411,-0.008930,0.000033,-0.003819,-0.001302,0.000082,-766.408508,1070.083130,528.394226,1846.787720,True,velocity,0.452434,0.451828,0.000000,0.000000,4.065044,False,0.144458,0.141871,0.037856,0.050636,-2.921157,-2.923496,0.002338,2.736318,2.736506,-0.000188,167.000000
0.3074480700015556,0.118779,1.460450,-1.747097,1.525880,-0.536466,-0.615368,-0.088622,0.002291,1.322578,1.705442,1.313724,0.003043,-0.013925,0.005994,0.163964,-0.532793,0.124264,0.820857,0.304707,-0.217437,0.631249,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254251,0.609936,0.163964,-0.532793,0.124264,0.820856,0.304707,-0.217437,0.631248,0.141992,-0.614909,-0.018509,0.775488,-0.373884,-0.254252,0.609935,0.452497,-0.002545,0.002151,0.003121,1,True,True,-0.001198,-0.001414,0.001749,-0.006187,-0.007309,0.009828,-0.005310,-0.006266,0.008076,-0.005310,-0.006266,0.008076,0.000000,-0.006187,-0.007309,0.009828,True,-0.005115,-0.006034,0.007686,-0.005115,-0.006034,0.007686,0.670498,0.928721,1.071098,0.826749,0.583919,0.717786,0.936017,0.726384,-0.008160,-0.006045,-0.007619,-0.009434,0.000043,-0.001940,-0.001302,0.001059,-766.408508,1070.082886,528.394226,1846.790039,True,velocity,0.452497,0.451828,0.000000,0.000000,4.098551,False,0.144368,0.141849,0.037860,0.050644,-2.921090,-2.923496,0.002406,2.736303,2.736506,-0.000203,167.000000
